Topic,Count,Name,Representation,Representative_Docs
0,783,0_lorenz_unitedhealth_ceos_executives,"['lorenz', 'unitedhealth', 'ceos', 'executives', 'taylor', 'sympathy', 'profits', 'profit', 'died', 'insurance']","['Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder', 'Read more: Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO', 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO']"
1,637,1_murderer_killer_killed_deaths,"['murderer', 'killer', 'killed', 'deaths', 'shooter', 'kill', 'innocent', 'deserved', 'death', 'hitler']","[""I don't believe Brian Thompson deserved to be killed because of a bad experience my family had with an insurance company. I believe he deserved to be killed because he oversaw the mass murder of thousands of Americans.\n\nSome of us have empathy for people beyond our own families."", 'He murdered a mass murderer. Brian Thompson was responsible for the deaths of thousands.', 'Brian Thompson is a mass murderer and was put down like one.']"
2,542,2_ceos_murdering_killed_deaths,"['ceos', 'murdering', 'killed', 'deaths', 'died', 'corrupt', 'insurance', 'death', 'healthcare', 'kill']","[""So you're OK with the CEO being the cause of tens of thousands of deaths and countless more suffering for money? Normally, we'd call people like that a criminal; you know people who take lives for money.\nMaybe Luigi is the good guy with a gun I've heard so much about."", 'The CEO that was killed is directly responsible for the suffering and deaths of many people through denied Healthcare. \n\nLuigi killed in cold blood, but the person who died is for the benefit of many. A death that was needed; but done in a horrible way.', ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…""]"
3,513,3_insurance_healthcare_deaths_died,"['insurance', 'healthcare', 'deaths', 'died', 'medicare', 'health', 'coverage', 'profits', 'claim', 'killed']","['You\'re insinuating the murder of Brian Thompson in NYC was justified? \n""Health insurance companies are responsible for the deaths of hundreds of thousands of Americans each each year and when denying claims and coverage for people who can’t always afford health insurance costs.""', 'How many people has Brian THOMPSON killed by denying them health coverage?', 'Imagine the people denied life-saving healthcare by people like Brian Thompson got the same news coverage…']"
4,430,4_healthcare_insurance_unitedhealth_ai,"['healthcare', 'insurance', 'unitedhealth', 'ai', 'medical', 'ceos', 'coverage', 'lawsuit', 'patients', 'health']","['While Brian Thompson was CEO of United Health Care, the company began using an AI to automate the denial of services. The AI was found to have a 90% error rate, but the company continued to use it, resulting in people being denied medically-necessary and fully-covered treatments.', ""Murdered health insurance boss backed 'AI that denied 90% of coverage: \n\nA controversial AI program used to deny elderly people health coverage is now at the center of questions about the shooting of the UnitedHealthcare CEO."", 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
5,419,5_deaths_died_murderer_sympathy,"['deaths', 'died', 'murderer', 'sympathy', 'mourn', 'killed', 'death', 'moral', 'family', 'rich']","['Every single person who died after being denied healthcare by his company was also a human being with a family. Fuck Brian Thompson.', 'And yet you never complained about all the people who died to make Brian Thompson rich, it’s almost like you only care about rich people who kill for profit or something', 'Just a reminder that Brian Thompson would have (and did) watch thousands of people die if it meant his company made more money. The lives of others meant nothing to him, why should we feel bad for the loss of his?\n\nThere is no sympathy left for the deaths of evil people.']"
6,384,6_luigimangione_unitedhealth_unitedhealthcareassassin_deaths,"['luigimangione', 'unitedhealth', 'unitedhealthcareassassin', 'deaths', 'healthcare', 'murderer', 'killer', 'killed', 'murdering', 'ceos']","['The main difference being Luigi Mangione allegedly killed one person while the Insurance CEO killed thousands of people for profit. In our dystopian capitalist society killing people behind a desk with a pen is somehow ok as long as it enriches our corporate overlords', '#LuigiMangione is facing trial for murdering #BrianThompson but how many people has #UnitedHealthcare killed by denying them #healthcare…?', 'This is Luigi mangione guy that killed United healthcare ceo \n\nDivisive figure now. Despite being a murderer, kind of a hero to many folks because fuck the healthcare system. His company fucked over a lot of people']"
7,354,7_killed_killer_murderer_kill,"['killed', 'killer', 'murderer', 'kill', 'deaths', 'died', 'die', 'death', 'daniel', 'hero']","['That man is responsible for killing thousands for his own gain. Luigi killed a killer.', 'Luigi is responsible for less deaths than the guy he killed 😂', 'This is who Luigi should have killed']"
