Topic,Count,Name,Representation,Representative_Docs
0,416,0_killed_murderer_coward_shot,"['killed', 'murderer', 'coward', 'shot', 'hero', 'unarmed', 'justice', 'innocent', 'kill', 'defending']","['There Alot of sick people here who are seeing this luigi as a hero. He killed a man, and the death of one person will do nothing to help the cause. This is like big pharma they will take another person and continue like before. Stop glorifying killers.', 'Rittenhouse shot in self defense those attacking him. Penny saved people from a violent man who died of medical issues & drugs & was alive when police arrived\n\nLuigi is a spoiled rich kid who shot a father & husband in the back who grew up poor on a farm & improved insurance care', ""There's a difference between shooting someone in self-defense face to face like Kyle Rittenhouse did. Your hero Luigi shot an unarmed man in the back like a coward. Watch the videos of both.""]"
1,286,1_luigimangione_mangioni_prayers_news,"['luigimangione', 'mangioni', 'prayers', 'news', 'pray', 'family', 'arrest', 'devastated', 'cheering', 'daniel']","['Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”"", 'NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""']"
2,218,2_justice_murderer_killer_innocent,"['justice', 'murderer', 'killer', 'innocent', 'killed', 'victim', 'died', 'deserves', 'deserved', 'perpetrator']","['Justice for Brian Thompson.', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', 'Someone killed $Brian Thompson \n\nBrian has a family and two innocent children 🧒 so he deserves justice..\nJustice for #BrianThompson \n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']"
3,196,3_unitedhealth_healthcare_executive_health,"['unitedhealth', 'healthcare', 'executive', 'health', 'leadership', 'fatally', 'killed', 'employee', 'leader', 'tragic']","['The full statement from UnitedHealth Group regarding their colleague Brian Thompson:\n\nUnitedHealth Group Statement on Our Friend and Colleague Brian Thompson \nDecember 05, 2024\n\nUnitedHealth Group today issued the following statement:\n\n""While our hearts are broken, we have been…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.', 'UnitedHealth Leader Addresses CEO Murder and Flaws in Health Care System\n\nIn an op-ed published in The New York Times, Andrew Witty, CEO of UnitedHealth Group, paid tribute to the late CEO Brian Thompson, who was tragically shot and killed in New York City. Witty acknowledged the…']"
4,169,4_piers_lorenz_morgan_ceos,"['piers', 'lorenz', 'morgan', 'ceos', 'murderer', 'cheering', 'media', 'joy', 'death', 'dehumanizing']","['Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video) | The Gateway Pundit | by Margaret Flavin', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)  #gatewaypundit via', 'Piers Morgan Slams Beaming Former WaPo Hack Taylor Lorenz For Saying She Felt ‘Joy’ Over Murder of UnitedHealthcare CEO (Video)']"
5,148,5_taylor_lorenz_evil_murderer,"['taylor', 'lorenz', 'evil', 'murderer', 'disturbing', 'murdering', 'sickening', 'killer', 'joyful', 'upset']","['Disturbing! How does this make anyone feel “joyful”?\n\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'PURE EVIL: “There are no words to describe how sick and evil Taylor Lorenz is. She literally laughed and says she felt ""joy"" when Brian Thompson was killed. — Taylor Lorenz is a heartless, disgusting subhuman piece of trash.”\n#LuigManigone', 'PURE EVIL: There are no words to describe how sick and evil Taylor Lorenz is. She literally laughed and says she felt ""joy"" when Brian Thompson was killed.\n\nTaylor Lorenz is a heartless, disgusting subhuman piece of trash.']"
6,117,6_healthcare_obamacare_murderer_died,"['healthcare', 'obamacare', 'murderer', 'died', 'insurance', 'death', 'killed', 'tragedy', 'democrats', 'condolences']","['This nut is celebrating the murder of United Healthcare CEO Brian Thompson. These people are sick!', ""I am deeply disturbed by the reactions of some individuals who are seemingly celebrating the tragic death of the United Healthcare CEO, Brian Thompson. Regardless of one's opinions about the healthcare industry or the policies of United Healthcare, there is no justification for…"", 'I DON’T CARE IF YOU LIKE SOMEONE OR NOT, CELEBRATING OR WISHING DEATH ON A PERSON IS JUST EVIL! Left-Wing Journalists Celebrate Murder of Health Insurance CEO Brian Thompson']"
7,102,7_murderer_killer_homicide_innocent,"['murderer', 'killer', 'homicide', 'innocent', 'shot', 'violence', 'hanged', 'violent', 'executed', 'hero']","['Kyle Rittenhouse never murdered anybody. He bravely defended his life against violent criminals attacking him. He did absolutely nothing wrong. But Mangione did absolutely everything wrong. He laid in ambush and murdered an innocent man by shooting them in the back like a coward.', 'There is nothing heroic or justified about shooting a father of two in the back. \n\nClaims denied by the health insurance industry are irrelevant. Blame Obamacare.\n\nMangione is a killer and should be treated like a killer. He’s no folk hero.', 'Mangione shot an innocent man in the back? You know that?']"
8,101,8_family_families_father_iowa,"['family', 'families', 'father', 'iowa', 'condolences', 'dad', 'grew', 'jewell', 'employees', 'sons']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'This is who Luigi shot\n\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…']"
