Topic,Count,Name,Representation,Representative_Docs
0,432,0_coward_murderer_killed_shot,"['coward', 'murderer', 'killed', 'shot', 'innocent', 'justice', 'unarmed', 'murdering', 'defending', 'hero']","['Wait. Luigi went through a trial and was found not guilty and justified? \nThere’s the difference. Kyle killed a couple pedophiles in self defense. Luigi murdered an innocent man in cold blood. You people are sick fucks.', 'There Alot of sick people here who are seeing this luigi as a hero. He killed a man, and the death of one person will do nothing to help the cause. This is like big pharma they will take another person and continue like before. Stop glorifying killers.', ""There's a difference between shooting someone in self-defense face to face like Kyle Rittenhouse did. Your hero Luigi shot an unarmed man in the back like a coward. Watch the videos of both.""]"
1,410,1_murderer_killer_killed_kill,"['murderer', 'killer', 'killed', 'kill', 'condolences', 'violence', 'death', 'innocent', 'victim', 'justice']","['Disturbing! How does this make anyone feel “joyful”?\n\nTaylor Lorenz is laughing over Brian Thompson’s death and says it brings her joy. Piers is having no part of it! Disgusting that anyone would feel this way!', 'The death of Brian Thompson shows that the discourse in this country is can actually translate to violence in real life. We need to be better. Thoughts are with Brian’s family, friends, and the entire  family.', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
2,372,2_murderer_killer_prayers_news,"['murderer', 'killer', 'prayers', 'news', 'shot', 'hero', 'arrest', 'gun', 'case', 'innocent']","['Mangione shot an innocent man in the back? You know that?', 'NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', ""Luigi Mangione shot a man in the back, like a coward, just because the man was head of a company that wouldn't give Luigi's rich family free money.""]"
3,299,3_unitedhealth_healthcare_executive_insurance,"['unitedhealth', 'healthcare', 'executive', 'insurance', 'condolences', 'fatally', 'killed', 'death', 'rip', 'tragic']","['Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.', 'Brian Thompson, the 50-year-old CEO of UnitedHealthcare, was a highly respected leader in the healthcare industry, with nearly 20 years of experience with the company before his tragic death outside a Hilton hotel in Manhattan..', 'RIP United healthcare CEO Brian Thompson .']"
4,240,4_murderer_healthcare_celebrating_death,"['murderer', 'healthcare', 'celebrating', 'death', 'killer', 'unitedhealth', 'obamacare', 'killed', 'ceos', 'leftist']","['Let’s get this straight. \n\nSince the left is actually celebrating the death of United Healthcare’s CEO Brian Thompson, the lack of outcry for gun control is deafening. \n\nIf they really mean what they say, the left has to change their whole stance on guns. \n\nOr is it a…', 'Charlamage the God chimes in on the murder of UnitedHealthcare CEO Brian Thompson, questions why people are celebrating it.\n\n""I don\'t understand why people are celebrating him being killed because like I said yesterday, he\'s dead. His kids don\'t got no father.""', 'I DON’T CARE IF YOU LIKE SOMEONE OR NOT, CELEBRATING OR WISHING DEATH ON A PERSON IS JUST EVIL! Left-Wing Journalists Celebrate Murder of Health Insurance CEO Brian Thompson']"
