Topic,Count,Name,Representation,Representative_Docs
0,1661,0_deaths_ceos_healthcare_insurance,"['deaths', 'ceos', 'healthcare', 'insurance', 'killed', 'corporate', 'death', 'murderer', 'greed', 'killer']","['Either way Kyle and Luigi killed less people than the CEO did. No one can make me feel bad for the millionaire who made his money off peoples suffering and denied coverage that lead to many innocent deaths.', 'The CEO that was killed is directly responsible for the suffering and deaths of many people through denied Healthcare. \n\nLuigi killed in cold blood, but the person who died is for the benefit of many. A death that was needed; but done in a horrible way.', 'How many loved ones have died from health care denied to them health insurance companies?\n\nWhat Luigi did was the inevitable result of a system which denies people life saving care']"
1,1138,1_luigimangione_healthcare_hero_health,"['luigimangione', 'healthcare', 'hero', 'health', 'italian', 'manifesto', 'unitedhealthcareassassin', 'insurance', 'murderer', 'care']","['Health insurance companies kill thousands of people per year by denying claims and you’re going to stick your neck out to defend this guy? Luigi Mangione is a hero. It’s time to stand up to the evil ruling class.', 'He took on the corrupt healthcare system is what he did, and in this house Luigi Mangione is an Italian American hero, end of story!', ""Canadian Jury:\n'Americans pay money for healthcare and then they are denied healthcare.'\n\nWhat did Luigi Mangione say that was wrong?\n\n“These parasites had it coming … I do apologize for any strife and trauma, but it had to be done.”\n- Luigi Mangione ()""]"
2,1024,2_mario_hero_said_right,"['mario', 'hero', 'said', 'right', 'care', 'instead', 'better', 'shit', 'deserves', 'really']","['$hero $luigi', 'And this is why Luigi is a hero', ""We don't care. He's a hero. Free Luigi""]"
3,984,3_insurer_insurers_insurance_obamacare,"['insurer', 'insurers', 'insurance', 'obamacare', 'healthcare', 'unitedhealth', 'medicare', 'aarp', 'denying', 'premiums']","[""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year."", 'How the Insurance Industry Denies Coverage to Patients\n\nHealth insurers reject millions of claims for treatment every year.\n\nWhen asked about this, they denied it.\n\n  #MedTwitter #insurance #Anthem #UnitedHealthcare #denial #healthcare #healthplans', ""Having health insurance coverage doesn't solve things when the insurance companies can do things like deny claims, which UnitedHealthcare does at the highest rate""]"
4,907,4_murderer_deaths_killer_killed,"['murderer', 'deaths', 'killer', 'killed', 'died', 'sympathy', 'shooter', 'kill', 'death', 'hitler']","['Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.', 'Brian Thompson killed more people than his killer so….', 'Few people have killed more than Brian Thompson.']"
5,857,5_insurance_healthcare_unitedhealth_deaths,"['insurance', 'healthcare', 'unitedhealth', 'deaths', 'health', 'died', 'coverage', 'ceos', 'patients', 'killer']","['Oh no!\n\nThe CEO of United Healthcare who used AI to deny health coverage to millions, Brian Thompson, was shot in the chest and died.\n\nAnyway', 'How many people has Brian THOMPSON killed by denying them health coverage?', 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
6,834,6_insurance_unitedhealth_healthcare_sympathy,"['insurance', 'unitedhealth', 'healthcare', 'sympathy', 'ceos', 'killer', 'claims', 'executives', 'nypd', 'profits']","[""Taylor Lorenz says she 'felt joy' after the murder of UnitedHealthcare CEO"", 'Brian Thompson killer had the words “deny,” “defend” “depose” on the shell casings that were left behind?\n\nObvious link to the 2010 book: Delay, Deny, Defend.\nWhy insurance companies don’t pay claims and what you can do about it.\n\nSo this must be vigilante justice. They refused…', 'ABC: “NYPD finds ‘deny’ ‘defend’ ‘depose’ on shell casings where United Health CEO Brian Thompson was murdered” — seems to reference how insurance companies👇🏽deny people treatment. Especially United.']"
7,697,7_luigimangione_mangiones_mangioni_freeluigimangione,"['luigimangione', 'mangiones', 'mangioni', 'freeluigimangione', 'hero', 'villain', 'house', 'man', 'italian', 'end']","['And in this house, Luigi Mangione is a hero! End of story!', 'In this house Luigi Mangione is a hero... end of story!', 'FREE LUIGI MANGIONE , HE IS A HERO']"
