Topic,Count,Name,Representation,Representative_Docs
0,301,0_murderer_killer_justice_killed,"['murderer', 'killer', 'justice', 'killed', 'innocent', 'victim', 'deserved', 'deserves', 'kill', 'shot']","['Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', 'Someone killed $Brian Thompson \n\nBrian has a family and two innocent children 🧒 so he deserves justice..\nJustice for #BrianThompson \n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\n\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.']"
1,209,1_unitedhealth_executive_healthcare_insurer,"['unitedhealth', 'executive', 'healthcare', 'insurer', 'died', 'insurance', 'assassinated', 'fatally', 'employee', 'killed']","['Brian Thompson, the UnitedHealth insurance executive who was fatally shot in New York City on Wednesday, grew up in a small Iowa town and rose through the ranks of healthcare giant UnitedHealth to head the country’s largest health insurer', 'UnitedHealth Leader Addresses CEO Murder and Flaws in Health Care System\n\nIn an op-ed published in The New York Times, Andrew Witty, CEO of UnitedHealth Group, paid tribute to the late CEO Brian Thompson, who was tragically shot and killed in New York City. Witty acknowledged the…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.']"
2,155,2_luigimangione_mangioni_prayers_pray,"['luigimangione', 'mangioni', 'prayers', 'pray', 'family', 'news', 'chris', 'jesus', 'devastated', 'arrest']","['NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', 'Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”""]"
3,138,3_finale_justice_killed_died,"['finale', 'justice', 'killed', 'died', 'killer', 'pumped', 'murdering', 'ddd', 'hero', 'innocent']","['The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON! (the finale).\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON (the finale).\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'The full circle. (Someone killed Brian).\n\n- $DDD pumped. \n- $LUIGI pumped (today).\n\nThen finally comes back to who died and why, do the people seek Justice?\n\n- JUSTICE FOR #BRIAN THOMPSON !! (the finale).\n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']"
4,122,4_unitedhealth_unitedhealthcareceo_healthcare_insurance,"['unitedhealth', 'unitedhealthcareceo', 'healthcare', 'insurance', 'health', 'ceos', 'cared', 'nypd', 'executive', 'killed']","['The leader of UnitedHealth Group wrote that the health insurance executive gunned down on a Manhattan sidewalk last week cared about consumers and was working to make the system better.', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should,” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.', 'The leader of UnitedHealth Group conceded that the patchwork U.S. health system “does not work as well as it should” but said Friday that the insurance executive gunned down on a Manhattan sidewalk cared about customers and was working to make it better.']"
5,113,5_insurance_healthcare_murderer_killer,"['insurance', 'healthcare', 'murderer', 'killer', 'ceos', 'killed', 'health', 'death', 'greed', 'condolences']","[""I feel sorry for Brian Thompson and his family. I never condone violence, especially a cold-blooded murder.\n\nThat said, these billion dollar, often greedy, insurance companies impact a lot of people's lives in a deeply personal way.\n\nThey make it their mission to deny as many…"", '“brian thompson was a man with a family and people who loved him” \n\n“CEOs are people too”\n\n“just because he denied people life saving health insurance doesn’t mean it’s okay for someone to kill him”', 'United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.\nWhat does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.']"
6,96,6_condolences_companies_employees_company,"['condolences', 'companies', 'employees', 'company', 'family', 'families', 'iowa', 'grandfather', 'rip', 'father']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…', 'This is who Luigi shot\n\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…']"
