Topic,Count,Name,Representation,Representative_Docs
0,894,0_murderer_killer_killed_murdering,"['murderer', 'killer', 'killed', 'murdering', 'ceos', 'deaths', 'died', 'innocent', 'kill', 'justice']","[""Not one sane person has stated it was Luigi's right to murder Thompson.\n\nWhat is being said is that Thompson was responsible for a company that ALLOWED tens of thousands of people die.\n\nThat is why Thompson was killed. People are saying they understand why it happened."", ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…"", 'Yes people would be mad at Luigi if he murdered someone that’s innocent! But the thing is that the greedy CEO that got killed, was responsible for countless deaths after HIS company denied health insurance claims, just so they could shove more money into their pockets.']"
1,705,1_insurance_unitedhealth_healthcare_medicare,"['insurance', 'unitedhealth', 'healthcare', 'medicare', 'ceos', 'claims', 'doctors', 'medical', 'coverage', 'companies']","[""Having health insurance coverage doesn't solve things when the insurance companies can do things like deny claims, which UnitedHealthcare does at the highest rate"", 'This CEOs company denied the most claims in the health insurance agency.', ""Insurance companies make profits from denying to help people. UnitedHealthcare Group had a 32% claim denial rate in 2023, they've done more than just ruin people's lives, they've killed people. I don't think people who do OF kill thousands of people per year.""]"
2,617,2_murderer_killer_killed_shooter,"['murderer', 'killer', 'killed', 'shooter', 'deaths', 'innocent', 'kill', 'deserved', 'hitler', 'shot']","['Good thing serial killer Brian Thompson got the death penalty then. He deserved it. Thanks for pointing that out!', 'They literally said that they did not think shooting him was right. You have to talk like this because you have nothing of real value to say. You know that Brian Thompson was a bad man. We all know, for certain, that he got a lot of people killed.', 'Brian Thompson is a mass murderer and was put down like one.']"
3,470,3_healthcare_unitedhealth_insurance_ceos,"['healthcare', 'unitedhealth', 'insurance', 'ceos', 'medical', 'executives', 'lawsuit', 'health', 'deaths', 'executive']","['CEO of United Healthcare, who used AI to deny health coverage to millions, was shot dead in New York. The company made $22b profit in 2023 but thousands died when denied cover for life saving treatments. \n\nPolice are investigating if he had any enemies.', 'Oh no!\n\nThe CEO of United Healthcare who used AI to deny health coverage to millions, Brian Thompson, was shot in the chest and died.\n\nAnyway', 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
4,461,4_healthcare_deaths_insurance_death,"['healthcare', 'deaths', 'insurance', 'death', 'died', 'medicare', 'lives', 'ceos', 'health', 'family']","['Shot on his way to break the news to investors that United Healthcare had again made record profits by denying lifesaving care time and time again, to millions of Americans. \n\nPeople are dying every single day because of the greed of men like Brian Thompson. Desperate times.', 'Every single person who died after being denied healthcare by his company was also a human being with a family. Fuck Brian Thompson.', 'Imagine the people denied life-saving healthcare by people like Brian Thompson got the same news coverage…']"
5,423,5_deaths_murderer_died_sympathy,"['deaths', 'murderer', 'died', 'sympathy', 'killed', 'empathy', 'rich', 'death', 'guy', 'family']","['People celebrate his death because he was a CEO of a health care service that ruined the lives of millions of Americans who up-charged prices much higher than the industry standard. Brian Thompson was murderer and got rich off the struggle and death of American families', 'And yet you never complained about all the people who died to make Brian Thompson rich, it’s almost like you only care about rich people who kill for profit or something', 'Just a reminder that Brian Thompson would have (and did) watch thousands of people die if it meant his company made more money. The lives of others meant nothing to him, why should we feel bad for the loss of his?\n\nThere is no sympathy left for the deaths of evil people.']"
6,384,6_luigimangione_deaths_murderer_healthcare,"['luigimangione', 'deaths', 'murderer', 'healthcare', 'insurance', 'murdering', 'killed', 'killer', 'unitedhealth', 'ceos']","['The main difference being Luigi Mangione allegedly killed one person while the Insurance CEO killed thousands of people for profit. In our dystopian capitalist society killing people behind a desk with a pen is somehow ok as long as it enriches our corporate overlords. 🤬', 'The main difference being Luigi Mangione allegedly killed one person while the Insurance CEO killed thousands of people for profit. In our dystopian capitalist society killing people behind a desk with a pen is somehow ok as long as it enriches our corporate overlords', '#LuigiMangione is facing trial for murdering #BrianThompson but how many people has #UnitedHealthcare killed by denying them #healthcare…?']"
7,108,7_lorenz_executives_joy_taylor,"['lorenz', 'executives', 'joy', 'taylor', 'empathy', 'health', 'sickening', 'healthcare', 'julia', 'felt']","['Read more: Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO', 'Taylor Lorenz says she ""felt joy"" after the murder of UnitedHealthcare CEO', ""Taylor Lorenz says she 'felt joy' after the murder of UnitedHealthcare CEO""]"
