Topic,Count,Name,Representation,Representative_Docs
0,292,0_luigimangione_mangioni_prayers_news,"['luigimangione', 'mangioni', 'prayers', 'news', 'pray', 'family', 'arrest', 'devastated', 'killer', 'poor']","['NEW from Luigi Mangione\'s family:\n""We only know what we have read in the media. Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved. We are devastated by this news.""', 'Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”""]"
1,290,1_unitedhealth_ceos_healthcare_executive,"['unitedhealth', 'ceos', 'healthcare', 'executive', 'leadership', 'health', 'insurance', 'killed', 'fatally', 'brianthompson']","['UnitedHealth chief admits US health system ‘does not work as well as it should’  \nIn a New York Times essay, Andrew Witty also says slain healthcare CEO Brian Thompson cared about customers\n\nThe leader of the parent company of Unit…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.', 'UnitedHealth Leader Addresses CEO Murder and Flaws in Health Care System\n\nIn an op-ed published in The New York Times, Andrew Witty, CEO of UnitedHealth Group, paid tribute to the late CEO Brian Thompson, who was tragically shot and killed in New York City. Witty acknowledged the…']"
2,173,2_murderer_killer_kill_mourn,"['murderer', 'killer', 'kill', 'mourn', 'death', 'violence', 'upset', 'disturbing', 'victim', 'justified']","[""You are retarded man. U can't kill people because u don't like their policies. I didn't even know who Brian Thompson was 2 weeks ago. He's a victim of murder and has a family. We aren't going to have a society where people are getting killed for doing their jobs."", 'The death of Brian Thompson shows that the discourse in this country is can actually translate to violence in real life. We need to be better. Thoughts are with Brian’s family, friends, and the entire  family.', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
3,159,3_insurance_murderer_healthcare_assassinated,"['insurance', 'murderer', 'healthcare', 'assassinated', 'killed', 'condolences', 'death', 'health', 'family', 'medical']","['“brian thompson was a man with a family and people who loved him” \n\n“CEOs are people too”\n\n“just because he denied people life saving health insurance doesn’t mean it’s okay for someone to kill him”', 'Brian Thompson was a human being who came up from a small farm town and made it all the way up to CEO of a healthcare company. He wasn’t even the founder, he had a wife and children, just because you don’t like the healthcare industry does not mean an innocent man had to die.', 'United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.\nWhat does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.']"
4,143,4_justice_innocent_injustice_killed,"['justice', 'innocent', 'injustice', 'killed', 'traitor', 'hero', 'shot', 'alive', 'better', 'peace']","[""We are still looking forward for justice for $DOJA\n\nLet's not forget that our fellow human life also matter.\nIt saddens me to hear about $BRIAN\n\nCa: EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump\n\nLet's get justice for $BRIAN THOMPSON"", 'JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\n\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.', 'Someone killed $Brian Thompson \n\nBrian has a family and two innocent children 🧒 so he deserves justice..\nJustice for #BrianThompson \n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump']"
5,77,5_brianthompson_family_families_father,"['brianthompson', 'family', 'families', 'father', 'iowa', 'condolences', 'dad', 'jewell', 'employees', 'sons']","['Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator', 'Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really proud when he graduated…', 'This is who Luigi shot\n\n""Brian Thompson went from Jewell, Iowa (population 1,200) to leading 140,000 employees and overseeing $280B of revenue at one of the world’s most important companies. His mom worked as a beautician, his dad at a grain elevator—they were probably really…']"
