Topic,Count,Name,Representation,Representative_Docs
0,318,0_unitedhealth_healthcare_insurance_ceos,"['unitedhealth', 'healthcare', 'insurance', 'ceos', 'executive', 'health', 'died', 'killed', 'fatally', 'shot']","['UnitedHealth chief admits US health system ‘does not work as well as it should’  \nIn a New York Times essay, Andrew Witty also says slain healthcare CEO Brian Thompson cared about customers\n\nThe leader of the parent company of Unit…', 'Brian Thompson, the CEO of UnitedHealthcare, was assassinated in New York City yesterday. The 50-year-old executive was fatally shot outside the New York Hilton Midtown hotel in what authorities describe as a targeted attack. In one word, let us honor his memory.', 'Brian Thompson, the UnitedHealth insurance executive who was fatally shot in New York City on Wednesday, grew up in a small Iowa town and rose through the ranks of healthcare giant UnitedHealth to head the country’s largest health insurer']"
1,291,1_luigimangione_mangioni_prayers_news,"['luigimangione', 'mangioni', 'prayers', 'news', 'pray', 'family', 'arrest', 'devastated', 'murderer', 'killer']","[""'Our family is shocked and devastated by Luigi’s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved,' the family said."", 'Statement from Luigi Mangione\'s family:\n\n""Our family is shocked and devastated by Luigi\'s arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.""', ""Luigi Mangione’s family has released a statement:\n\n“We only know what we have read in the media. Our family is shocked and devastated by Luigi's arrest. We offer our prayers to the family of Brian Thompson and we ask people to pray for all involved.”""]"
2,194,2_murderer_killer_justice_killed,"['murderer', 'killer', 'justice', 'killed', 'innocent', 'violence', 'kill', 'victim', 'death', 'justified']","['Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', 'Someone killed $Brian Thompson \n\nBrian has a family and two innocent children 🧒 so he deserves justice..\nJustice for #BrianThompson \n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', 'JUSTICE FOR BRIAN. THE PEOPLE NEED TO RALLY FOR WHAT IS GOOD. NOT WHAT IS BAD.\n\nBRIAN THOMPSON WAS SHOT AND MURDERED IN COLD BLOOD. HIS FAMILY WANT JUSTICE.']"
3,183,3_insurance_healthcare_ceos_murderer,"['insurance', 'healthcare', 'ceos', 'murderer', 'condolences', 'health', 'killed', 'medical', 'families', 'family']","['It’s disgusting to see people in the replies justifying a shooting because the victim was a CEO of an insurance company.\n\nHe’s still a person. \nA wife still lost her husband. \nKids without a father (if he has kids, I don’t know)\n\nBe better.', '“brian thompson was a man with a family and people who loved him” \n\n“CEOs are people too”\n\n“just because he denied people life saving health insurance doesn’t mean it’s okay for someone to kill him”', 'United Healthcare CEO Brian Thompson was murdered today. Murder is ALWAYS wrong. Holding his family in The Light.\nWhat does not make news are the THOUSANDS of Americans who die because their health claim was denied by insurance companies.']"
4,148,4_condolences_brother_jesus_forgotten,"['condolences', 'brother', 'jesus', 'forgotten', 'god', 'lord', 'rip', 'family', 'folks', 'iowa']","[""Brian Thompson and his family live in the next town over from me. His wife and two boys are going to sleep tonight after enduring the worst day of their lives. They'll never have a normal holiday season ever again. Millions of people watched their husband & dad get killed.\n\nShit…"", ""This is ghastly. Seek Jesus, repent. 1 second here, next second crossing over. Where would you land if your time was up today?\nJesus Christ is my Lord and Savior!\nGodspeed Brian Thompson. May God's grace surround his family."", 'I would like offer my sincere condolences to the family of Brian Thompson. I’m so sorry that our country has become so corrupt. I hope justice is served, Keeping you all in my prayers. Rest in Peace Brian. 🇺🇸']"
