Topic,Count,Name,Representation,Representative_Docs
0,917,0_murderer_killer_deaths_killed,"['murderer', 'killer', 'deaths', 'killed', 'shooter', 'kill', 'death', 'hitler', 'violence', 'shot']","['Brian Thompson had the blood of thousands of people just like this poor person’s family on his hands. he was just as much a killer as the man who shot him, he did it from behind a desk without ever having to face the people whose lives he was ending.', 'Brian Thompson killed more people than his killer so….', 'Few people have killed more than Brian Thompson.']"
1,832,1_ceos_unitedhealth_executives_lorenz,"['ceos', 'unitedhealth', 'executives', 'lorenz', 'insurance', 'companies', 'company', 'healthcare', 'taylor', 'joy']","['Be careful CEO of Enron, Taylor Lorenz ""felt joy"" when UnitedHealth CEO was shot by Luigi Mangione. \n\nSource: Lorenz Taylor\'s interview with Piers Morgan. It\'s on YouTube if you want to watch.', 'This CEOs company denied the most claims in the health insurance agency.', 'Taylor Lorenz slams health insurance industry, says it\'s no ""wonder why we want these executives dead"" after UnitedHealthcare CEO murder']"
2,613,2_insurance_healthcare_unitedhealth_ceos,"['insurance', 'healthcare', 'unitedhealth', 'ceos', 'medical', 'lawsuit', 'executives', 'health', 'coverage', 'claims']","['United HealthCare had the highest rate of claims denials for its members of any health insurance company in America and double the industry average.\n\nThey say that the reason Brian Thompson died was because they had to wait on prior authorization from UHC to get him admitted to a…', 'Oh no!\n\nThe CEO of United Healthcare who used AI to deny health coverage to millions, Brian Thompson, was shot in the chest and died.\n\nAnyway', 'And people wonder why health insurance CEOs are getting got. United Healthcare CEO Brian Thompson fucked around and found out with his AI that denied 90% of claims.']"
3,540,3_ceos_healthcare_insurance_company,"['ceos', 'healthcare', 'insurance', 'company', 'companies', 'corrupt', 'care', 'health', 'fuck', 'justice']","['yeah the life of a dad who denied healthcare to people, robbed them of their money and left them to die.\nwhat a wonderful person that CEO was.\nand also, we dont even know if this luigi guy killed him.', 'well he is the ceo and decision maker for a healthcare company that literally denies people their healthcare that they pay for so yeah. \nLuigi may have killed that guy, but that guy was responsible for hundreds of thousands of deaths so fuck him. 🤷🏻\u200d♀️', ""That CEO felt the need to decide who should live and who should not by denying health care, he only cared about their money, he killed a LOT of people, Luigi killed only one, the murderer of all those people, that's justice""]"
4,421,4_insurance_deaths_healthcare_medicare,"['insurance', 'deaths', 'healthcare', 'medicare', 'died', 'coverage', 'health', 'death', 'ceos', 'lives']","['How many people died as a direct result from Brian Thompson’s actions? How many people died because his company denied them coverage and they couldn’t afford treatment?', 'Every single person who died after being denied healthcare by his company was also a human being with a family. Fuck Brian Thompson.', 'Imagine the people denied life-saving healthcare by people like Brian Thompson got the same news coverage…']"
5,383,5_luigimangione_unitedhealth_murderer_killer,"['luigimangione', 'unitedhealth', 'murderer', 'killer', 'unitedhealthcareassassin', 'deaths', 'healthcare', 'killed', 'murdering', 'hero']","['the difference between UHC and Luigi Mangione is that Luigi killed someone in broad daylight while companies like United Healthcare kill thousands of people in secret by denying them coverage for life saving treatments', ""Ted Bundy killed innocent women.\n\nLuigi Mangione killed a multi-millionaire CEO of United Health Care who made his $millions denying health care coverage; UHC's business practices kill far more people each year than every serial killer who ever lived combined. Not cheering, BUT…"", 'This is Luigi mangione guy that killed United healthcare ceo \n\nDivisive figure now. Despite being a murderer, kind of a hero to many folks because fuck the healthcare system. His company fucked over a lot of people']"
6,356,6_killed_murderer_killer_kill,"['killed', 'murderer', 'killer', 'kill', 'deaths', 'died', 'die', 'justice', 'death', 'gun']","['If you think Penny killed a man because the guy could potentially cause harm to others then Luigi killed a man that actually harms people for a living and also makes money from killing people. So what are you struggling with retard. If you run a mafia you get dropped sometimes🤷🏻\u200d♂️', 'Luigi is responsible for less deaths than the guy he killed 😂', 'This is who Luigi should have killed']"
