Topic,Count,Name,Representation,Representative_Docs
0,1744,0_murderer_killer_killed_coward,"['murderer', 'killer', 'killed', 'coward', 'murdering', 'gun', 'kyle', 'shot', 'blooded', 'kill']","['no luigi murdered some one in cold blood by shooting him in the back like a coward.', 'luigi murdered in cold blood\n\nkyle killed in self defense\n\nthese two are not the same...', 'Kyle defended himself against criminals who were trying to kill him, Luigi shot an unsuspecting man in the back. Kyle had every right to do what he did under the law, Luigi committed cold blooded murder in the most cowardly way possible. If you can’t see the difference than you…']"
1,1678,1_mario_said_much_everyone,"['mario', 'said', 'much', 'everyone', 'face', 'guy', 'think', 'right', 'instead', 'like']","['If you think Luigi is the good guy and the “rich dickhead” that “nobody liked” is the bad guy, you should read this. People like you are insufferable.', 'Exactly I don’t get why are people fantasizing people like Luigi?', ""Where's the big smile now, Luigi?\nOne good thing about life in prison on a first degree murder charge is all the free sex he'll get.""]"
2,1495,2_luigimangione_mangioni_penny_daniel,"['luigimangione', 'mangioni', 'penny', 'daniel', 'hero', 'trump', 'guy', 'murderer', 'man', 'people']","['I don’t know who needs to hear this, but Luigi Mangione is the bad guy, and Daniel Penny is the good guy.', ""Scott Jennings: People on the left can't tell the difference between the good guys and the bad guys.\n\nDaniel Penny is a good guy, and Luigi Mangione is a bad guy."", 'Scott Jennings: ""Let me just help you understand if you\'re on the American left tonight.”\n\n“The good guy today, Daniel Penny.”\n\n“The bad guy, Luigi Mangione”']"
3,1256,3_luigimangione_trump_sickness_health,"['luigimangione', 'trump', 'sickness', 'health', 'healthcare', 'allegedly', 'sick', 'suspect', 'care', 'alleged']","['🚨 JUST IN — President Trump SLAMS those on the left that are idolizing UnitedHealth CEO assassin Luigi Mangione:\n\n""I think it\'s a TERRIBLE thing. It\'s really terrible some people seem to admire him. How people can like this guy is a sickness.""', '""How people can like this guy—that’s a sickness, actually.""\n\nTrump condemns the Left’s reaction to alleged CEO killer Luigi Mangione.', 'Donald Trump says people who admire suspected UnitedHealthcare CEO shooter Luigi Mangione have a ""sickness.""\n\n""The way it was done, it was so bad. Right in the back. ... A thing like that, you just, you can\'t believe that some people — and maybe it\'s fake news.""']"
4,1117,4_murderer_killer_killed_ceos,"['murderer', 'killer', 'killed', 'ceos', 'kill', 'death', 'healthcare', 'insurance', 'assassin', 'victim']","['This nut is celebrating the murder of United Healthcare CEO Brian Thompson. These people are sick!', 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?', '“brian thompson was a man with a family”\n“CEOs are people too”\n“just because he denied people life saving health insurance doesn’t mean it’s okay for someone to kill him”']"
