Topic,Count,Name,Representation,Representative_Docs
0,471,0_luigimangione_mangioni_mangiones_hero,"['luigimangione', 'mangioni', 'mangiones', 'hero', 'mangina', 'nick', 'killer', 'guy', 'idolizing', 'man']","['Luigi Mangione is no more of a “hero” then this guy.', 'Luigi Mangione is a coward who shot a man in the back instead of stepping up to him like a real man and fighting him and beating his ass. At least the man would live another day, but no killed him for what? Now you have these idiots on social media glorifying his actions. FOH', ""Luigi Mangione is NOT a hero, he's a cold blooded killer and a fucking coward, he shot a man 3 times in the back then ran away like a pussy, he couldn't be man enough to own what he did. When he is found guilty and sent to prison Big Bubba is going to make him his bitch.""]"
1,441,1_insurance_healthcare_obamacare_health,"['insurance', 'healthcare', 'obamacare', 'health', 'ceos', 'care', 'killer', 'murdering', 'murderer', 'killed']","['It is ok not to understand things. Going on X and acting like the DA said the insurance company is part of the government is not the way to learn. It just shows everyone you are clueless. Luigi killed someone so the government would change something. Terrorism.', 'Well, thanks to Luigi, our healthcare problems are solved!\n\nHe murdered a random insurance company guy, and that’s going to fix everything!\n\nHealthcare is all better now! \n\nYou’re a psycho.', ""No. You don't. We want the CEOs of murdering health insurance companies locked up. Not Luigi.""]"
2,402,2_mangioni_nypd_mayor_nyc,"['mangioni', 'nypd', 'mayor', 'nyc', 'manhattan', 'york', 'city', 'adams', 'murderer', 'crime']","['NEW:  tells me why he felt the need to greet Luigi Mangione in Manhattan today. \n\n“I’m not going to just allow him into the city. I wanted to look him in the eye and say you carried out this terroristic act in my city, the city that the people of New York love.”', 'NYC Mayor on Luigi Mangione’s Hollywood spectacle of a perp walk:\n\n“I’m not going to just allow him into the city. I wanted to look him in the eye and stated, ‘you carried out this terroristic act in my city, the city that the people of New York love.’”', 'Mayor Eric Adams explains why he was present when Luigi Mangione arrived in New York:\n\n“I’m not going to just allow him to come into our city. I wanted to look him in the eye and stated that you carried out this terrorist act in my city, the city that the people of New York love.…']"
3,398,3_murderer_murderers_penalty_killer,"['murderer', 'murderers', 'penalty', 'killer', 'killed', 'murders', 'justice', 'deserves', 'kill', 'death']","['Dude, I think Luigi should get the death penalty.', 'A murderer and a coward. Death penalty for Luigi.', 'Well I think that Luigi is a murderer and should get the death penalty']"
4,378,4_luigimangione_mario_bowser_anymore,"['luigimangione', 'mario', 'bowser', 'anymore', 'right', 'keep', 'next', 'bye', 'enough', 'let']","['Too late for this joke but I wish I had said “You keep one of ours out of the hospital, we put one of yours in the grave” when the Luigi stuff was starting. I highly doubt I’ll ever get another opportunity to use that one.', 'Luigi got the wrong one.', 'Let’s get something straight… \n\n#Luigi has no chance!\n#LuigiMangione\n\n#bowser']"
5,366,5_luigimangione_donald_trump_unitedhealthcareassassin,"['luigimangione', 'donald', 'trump', 'unitedhealthcareassassin', 'unitedhealth', 'health', 'healthcare', 'sickness', 'killer', 'murderer']","['🚨 #BREAKING: Far leftist identified as the suspect in the assassınation of UnitedHealthcare CEO Brian Thompson\n\nIs ANYONE surprised at all?!\n\nLuigi Mangione, is an anti-capitalist climate change activist and former Ivy League student who idolized UNABOMBER Ted Kaczynski, per New…', '🚨 JUST IN — President Trump SLAMS those on the left that are idolizing UnitedHealth CEO assassin Luigi Mangione:\n\n""I think it\'s a TERRIBLE thing. It\'s really terrible some people seem to admire him. How people can like this guy is a sickness.""', 'Donald Trump on the United Healthcare CEO sho*ter Luigi Mangione:\n\n""I think it\'s a terrible thing. It\'s really terrible some people seem to admire him... How people can like this guy is a sickness.""']"
6,342,6_murderer_killer_killed_justice,"['murderer', 'killer', 'killed', 'justice', 'died', 'innocent', 'deaths', 'victim', 'deserved', 'shooter']","['Someone killed $Brian Thompson \n\nBrian has a family and two innocent children 🧒 so he deserves justice..\nJustice for #BrianThompson \n\nCa : EkNMMRhj2zArFyGAxsRhYy5UyeE3kwQSgMQpUfoYpump', ""Everyone who works for the same company, deserves to be murdered in cold blood too. Right?\nTell his wife and kids that they deserved this.\nAnd you can't name even one person that Brian Thompson himself killed or directed to die."", 'Brian Thompson was a person to whether you like it or not and you all are making a hero out of his killer and celebrating his death . Do you have any sympathy for his two children and his wife?']"
7,341,7_obamacare_ceos_healthcare_trump,"['obamacare', 'ceos', 'healthcare', 'trump', 'health', 'sympathy', 'insurance', 'shapiro', 'warren', 'attorney']","['🚨 BREAKING: Trump makes his first public comments on the assassination of the UnitedHealthcare CEO:\n\n""I think it\'s really terrible that some people seem to admire him... That was a terrible thing. It was cold-blooded... and how people can like this guy — that\'s a sickness.""', '🚨 BREAKING: Trump makes his first public comments on the assassination of the UnitedHealthcare CEO:\n""I think it\'s really terrible that some people seem to admire him... That was a terrible thing. It was cold-blooded... and how people can like this guy.', ""Culture of life? UnitedHealthcare CEO's murder mocked and celebrated by far-left These people are sick!!""]"
8,340,8_look_looks_italian_much,"['look', 'looks', 'italian', 'much', 'guy', 'insane', 'right', 'attractive', 'gays', 'yall']","['What we think Luigi supporters look like, and who they really are. 😑', 'Luigi looks, acts like a crazed Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕 ￼ their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of…', 'Luigi looks, acts like a crazed 🤪Demoncrat! Super Mario found with murder weapon, manifesto, left matching DNA, Fingerprints, video evidence! Demoncrats sure 💕 their murderers! Even Dougie is aroused! Dimm women and gays are swooning ! He must be a modern twisted version of…']"
9,331,9_shooter_shot_gun_coward,"['shooter', 'shot', 'gun', 'coward', 'murderer', 'assassin', 'killer', 'killed', 'unarmed', 'hero']","[""Brooklyn man you are a delusional person don't you see the difference I would have killed that f****** idiot if he got on the same car that I was in when you threatened to kill somebody all bets are off nobody's going to hold your hand.that coward Luigi shot the man in the back."", ""The only back fire in this case, is that Luigi Mangione shot Brian Thomson in the back and killed him..! (He's a murderer, and a coward.!)"", 'Or the Luigi guy who shot a man in the back']"
